"nomor_rencana_produksi";"id_user";"keterangan";"tanggal_rencana";"tanggal_input";"status";"created_at";"created_by";"updated_at";"updated_by"
"WOS2206-0026";"3";NULL;"2022-06-27";"2022-06-25";"1";"2022-06-25 13:13:25";"3";"2022-06-25 13:16:47";"3"
"WOS2206-0027";"3";NULL;"2022-06-28";"2022-06-27";"1";"2022-06-27 14:31:36";"3";"2022-06-27 14:31:36";"3"
"WOS2206-0028";"3";NULL;"2022-06-29";"2022-06-29";"1";"2022-06-29 15:09:49";"3";"2022-06-29 15:09:49";"3"
"WOS2206-0029";"3";NULL;"2022-06-30";"2022-06-29";"1";"2022-06-29 15:12:20";"3";"2022-06-29 15:13:21";"3"
"WOS2206-0030";"3";NULL;"2022-07-01";"2022-06-30";"1";"2022-06-30 10:30:54";"3";"2022-06-30 10:30:54";"3"
"WOS2207-0001";"3";NULL;"2022-07-02";"2022-07-02";"1";"2022-07-02 09:46:37";"3";"2022-07-02 09:46:37";"3"
"WOS2207-0002";"3";NULL;"2022-07-04";"2022-07-04";"1";"2022-07-04 10:32:46";"3";"2022-07-04 10:32:46";"3"
"WOS2207-0003";"3";NULL;"2022-07-05";"2022-07-05";"1";"2022-07-05 10:34:02";"3";"2022-07-05 10:34:02";"3"
"WOS2207-0004";"3";NULL;"2022-07-06";"2022-07-05";"1";"2022-07-05 14:32:53";"3";"2022-07-05 14:32:53";"3"
"WOS2207-0005";"3";NULL;"2022-07-07";"2022-07-06";"1";"2022-07-06 09:53:23";"3";"2022-07-06 09:53:23";"3"
"WOS2207-0006";"3";NULL;"2022-07-07";"2022-07-06";"1";"2022-07-06 09:56:29";"3";"2022-07-07 09:48:13";"3"
"WOS2207-0007";"3";NULL;"2022-07-08";"2022-07-07";"1";"2022-07-07 09:47:34";"3";"2022-07-07 09:47:34";"3"
"WOS2207-0008";"3";NULL;"2022-07-11";"2022-07-08";"1";"2022-07-08 09:51:28";"3";"2022-07-08 09:51:28";"3"
"WOS2207-0009";"3";NULL;"2022-07-12";"2022-07-11";"1";"2022-07-11 09:33:22";"3";"2022-07-11 09:33:22";"3"
"WOS2207-0010";"3";NULL;"2022-07-13";"2022-07-12";"1";"2022-07-12 09:51:52";"3";"2022-07-12 13:34:20";"3"
"WOS2207-0011";"3";NULL;"2022-07-14";"2022-07-13";"1";"2022-07-13 09:52:41";"3";"2022-07-13 09:53:38";"3"
"WOS2207-0012";"3";NULL;"2022-07-15";"2022-07-14";"1";"2022-07-14 10:10:14";"3";"2022-07-14 13:31:04";"3"
"WOS2207-0013";"3";NULL;"2022-07-16";"2022-07-15";"1";"2022-07-15 09:07:15";"3";"2022-07-15 09:07:15";"3"
"WOS2207-0014";"3";NULL;"2022-07-18";"2022-07-16";"1";"2022-07-16 09:17:02";"3";"2022-07-16 09:22:40";"3"
"WOS2207-0015";"3";NULL;"2022-07-19";"2022-07-18";"1";"2022-07-18 09:26:18";"3";"2022-07-18 09:26:18";"3"
"WOS2207-0016";"3";NULL;"2022-07-20";"2022-07-19";"1";"2022-07-19 13:37:02";"3";"2022-07-20 09:13:30";"3"
"WOS2207-0017";"3";NULL;"2022-07-21";"2022-07-20";"1";"2022-07-20 13:39:41";"3";"2022-07-20 13:39:41";"3"
"WOS2207-0018";"3";NULL;"2022-07-22";"2022-07-21";"1";"2022-07-21 13:13:48";"3";"2022-07-21 13:13:48";"3"
"WOS2207-0019";"3";NULL;"2022-07-23";"2022-07-22";"1";"2022-07-22 13:36:16";"3";"2022-07-22 13:36:16";"3"
