"nomor_laporan_produksi_lab";"nomor_laporan_produksi";"jam_waktu";"mesin";"rpm";"mesh";"std_ssa";"ssa";"std_d50";"d50";"std_d98";"d98";"cie86";"iso2470";"moisture";"residue"
"LHPL2008-000161";"LHP2008-0018";"13:00:00";"1";"390";"1200";NULL;"9250";NULL;"2.4";NULL;"23.44";"86.4";"94.7";"0.272";"0.01"
"LHPL2008-000162";"LHP2008-0018";"13:00:00";"2";"470";"2000";NULL;"10910";NULL;"1.61";NULL;"20.41";"83.8";"93.9";"0.2";"0.01"
"LHPL2008-000163";"LHP2008-0018";"13:00:00";"3";"405";"1200";NULL;"10362";NULL;"1.74";NULL;"21.74";"82.6";"93.1";"0.124";"0.04"
"LHPL2008-000164";"LHP2008-0018";"13:00:00";"4";"450";"800";NULL;"7095";NULL;"5.84";NULL;"53.05";"81";"91.4";"0.164";"0.01"
"LHPL2008-000165";"LHP2008-0018";"13:00:00";"5";"350";"800";NULL;"7025";NULL;"6.29";NULL;"49.25";"82.6";"92.2";"0.125";"0.02"
"LHPL2008-000166";"LHP2008-0018";"13:00:00";"6";"370";"500";NULL;"7043";NULL;"4.69";NULL;"29.37";"81.6";"91";"0.146";"0.01"
"LHPL2008-000167";"LHP2008-0018";"13:00:00";"7";"370";"800";NULL;"6792";NULL;"5.04";NULL;"33.77";"76.7";"88.5";"0.275";"0.01"
"LHPL2008-000168";"LHP2008-0018";"13:00:00";"8";"370";"500";NULL;"7060";NULL;"4.73";NULL;"38.67";"78.5";"89.9";"0.282";"0.01"
"LHPL2008-000169";"LHP2008-0018";"13:00:00";"9";"380";"325";NULL;"7420";NULL;"4.64";NULL;"39.57";"81";"91.7";"0.235";"0.04"
"LHPL2008-000170";"LHP2008-0018";"13:00:00";"10";"375";"500";NULL;"7336";NULL;"4.63";NULL;"41.67";"80.2";"91.5";"0.194";"0.01"
"LHPL2008-000171";"LHP2008-0019";"08:00:00";"1";"390";"1200";NULL;"11636";NULL;"1.7";NULL;"20.57";"83.8";"91.8";"0.216";"0.01"
"LHPL2008-000172";"LHP2008-0019";"08:00:00";"2";"470";"2000";NULL;"10692";NULL;"1.56";NULL;"20.04";"82.9";"90.8";"0.15";"0.01"
"LHPL2008-000173";"LHP2008-0019";"08:00:00";"3";"405";"800";NULL;"11235";NULL;"1.69";NULL;"21.53";"84.3";"92.2";"0.131";"0.01"
"LHPL2008-000174";"LHP2008-0019";"08:00:00";"4";"450";"800";NULL;"7216";NULL;"6.41";NULL;"51.18";"82.6";"91.5";"0.115";"0.01"
"LHPL2008-000175";"LHP2008-0019";"08:00:00";"5";"350";"800";NULL;"7453";NULL;"6.09";NULL;"53.2";"82.9";"92.4";"0.109";"0.02"
"LHPL2008-000176";"LHP2008-0019";"08:00:00";"6";"370";"500";NULL;"7470";NULL;"4.54";NULL;"31.86";"80.2";"89.7";"0.135";"0.01"
"LHPL2008-000177";"LHP2008-0019";"08:00:00";"7";"370";"500";NULL;"7078";NULL;"4.68";NULL;"32";"83.2";"92.2";"0.249";"0.01"
"LHPL2008-000178";"LHP2008-0019";"08:00:00";"8";"370";"500";NULL;"7147";NULL;"4.51";NULL;"37.97";"82.1";"91";"0.274";"0.01"
"LHPL2008-000179";"LHP2008-0019";"08:00:00";"9";"380";"500";NULL;"7519";NULL;"4.73";NULL;"38.73";"78.5";"89.3";"0.311";"0.02"
"LHPL2008-000180";"LHP2008-0019";"08:00:00";"10";"375";"500";NULL;"7650";NULL;"4.96";NULL;"38.62";"83";"91.6";"0.15";"0.01"
"LHPL2008-000181";"LHP2008-0020";"13:00:00";"1";"390";"1200";NULL;"11636";NULL;"1.7";NULL;"20.57";"86.1";"93.2";"0.27";"0.03"
"LHPL2008-000182";"LHP2008-0020";"13:00:00";"2";"470";"2000";NULL;"140692";NULL;"1.56";NULL;"20.04";"82.8";"90.5";"0.17";"0.03"
"LHPL2008-000183";"LHP2008-0020";"13:00:00";"3";"405";"1200";NULL;"11711";NULL;"1.53";NULL;"20.01";"83.7";"93";"0.162";"0.06"
"LHPL2008-000184";"LHP2008-0020";"13:00:00";"4";"450";"800";NULL;"7216";NULL;"6.41";NULL;"51.18";"81.5";"90.9";"0.16";"0.21"
"LHPL2008-000185";"LHP2008-0020";"13:00:00";"5";"350";"800";NULL;"7453";NULL;"6.09";NULL;"53.2";"78.6";"90.8";"0.136";"0.21"
"LHPL2008-000186";"LHP2008-0020";"13:00:00";"6";"370";"500";NULL;"7470";NULL;"4.54";NULL;"31.86";"78.8";"88.5";"0.144";"0.01"
"LHPL2008-000187";"LHP2008-0020";"13:00:00";"7";"370";"500";NULL;"7078";NULL;"4.68";NULL;"32";"80.6";"90.9";"0.188";"0.01"
"LHPL2008-000188";"LHP2008-0020";"13:00:00";"8";"370";"500";NULL;"7147";NULL;"4.51";NULL;"37.97";"75.4";"88";"0.288";"0.01"
"LHPL2008-000189";"LHP2008-0020";"13:00:00";"9";"380";"500";NULL;"7519";NULL;"4.73";NULL;"38.73";"81.7";"90";"0.251";"0.03"
"LHPL2008-000190";"LHP2008-0020";"13:00:00";"10";"375";"500";NULL;"7650";NULL;"4.96";NULL;"38.62";"80.3";"90.5";"0.167";"0.01"
"LHPL2008-000191";"LHP2008-0021";"08:00:00";"1";"390";"1200";NULL;"10181";NULL;"2.06";NULL;"24.23";"80.4";"91.3";"0.378";"0.04"
"LHPL2008-000192";"LHP2008-0021";"08:00:00";"2";"470";"6000";NULL;"10517";NULL;"1.62";NULL;"21.06";"82.2";"91";"0.167";"0.01"
"LHPL2008-000193";"LHP2008-0021";"08:00:00";"3";"405";"1200";NULL;"11169";NULL;"1.76";NULL;"22.52";"81.9";"91";"0.163";"0.07"
"LHPL2008-000194";"LHP2008-0021";"08:00:00";"4";"450";"800";NULL;"7319";NULL;"5.68";NULL;"50";"81.9";"92.8";"0.119";"0.04"
"LHPL2008-000195";"LHP2008-0021";"08:00:00";"5";"350";"800";NULL;"7420";NULL;"6.35";NULL;"51.74";"83.3";"91.4";"0.103";"0.02"
"LHPL2008-000196";"LHP2008-0021";"08:00:00";"6";"370";"800";NULL;"7336";NULL;"7";NULL;"43.52";"78.4";"88";"0.243";"0.03"
"LHPL2008-000197";"LHP2008-0021";"08:00:00";"7";"370";"800";NULL;"6900";NULL;"4.73";NULL;"36.03";"79.5";"89.3";"0.523";"0.01"
"LHPL2008-000198";"LHP2008-0021";"08:00:00";"8";"370";"500";NULL;"7634";NULL;"4.35";NULL;"42.97";"82.8";"89.5";"0.353";"0.01"
"LHPL2008-000199";"LHP2008-0021";"08:00:00";"9";"380";"500";NULL;"7403";NULL;"4.94";NULL;"40.68";"81.1";"89.8";"0.32";"0.01"
"LHPL2008-000200";"LHP2008-0021";"08:00:00";"10";"375";"500";NULL;"8466";NULL;"3.9";NULL;"39.5";"77.3";"87.7";"0.19";"0.05"
"LHPL2008-000201";"LHP2008-0022";"13:00:00";"1";"390";"1200";NULL;"10181";NULL;"2.06";NULL;"24.23";"83.9";"91.5";"0.108";"0.02"
"LHPL2008-000202";"LHP2008-0022";"13:00:00";"2";"470";"6000";NULL;"10517";NULL;"1.62";NULL;"21.06";"84.8";"92.7";"0.109";"0.02"
"LHPL2008-000203";"LHP2008-0022";"13:00:00";"3";"405";"1200";NULL;"11169";NULL;"1.76";NULL;"22.52";"83.2";"90.3";"0.106";"0.06"
"LHPL2008-000204";"LHP2008-0022";"13:00:00";"4";"450";"800";NULL;"7319";NULL;"5.68";NULL;"50";"77.6";"88.9";"0.108";"0.41"
"LHPL2008-000205";"LHP2008-0022";"13:00:00";"5";"350";"800";NULL;"7420";NULL;"6.35";NULL;"51.74";"80.6";"91";"0.106";"0.55"
"LHPL2008-000206";"LHP2008-0022";"13:00:00";"6";"370";"800";NULL;"7336";NULL;"7";NULL;"43.52";"78.3";"87.5";"0.164";"0.03"
"LHPL2008-000207";"LHP2008-0022";"13:00:00";"7";"370";"800";NULL;"6900";NULL;"4.73";NULL;"36.03";"74.9";"85.6";"0.305";"0.01"
"LHPL2008-000208";"LHP2008-0022";"13:00:00";"8";"370";"500";NULL;"7634";NULL;"4.35";NULL;"42.97";"78.6";"88.6";"0.727";"0.04"
"LHPL2008-000209";"LHP2008-0022";"13:00:00";"9";"380";"500";NULL;"7403";NULL;"4.94";NULL;"40.68";"79.5";"90.6";"0.253";"0.01"
"LHPL2008-000210";"LHP2008-0022";"13:00:00";"10";"375";"500";NULL;"8466";NULL;"3.9";NULL;"39.5";"77.7";"88.2";"0.124";"0.07"
"LHPL2008-000211";"LHP2008-0023";"08:00:00";"1";"390";"1200";NULL;"11561";NULL;"1.63";NULL;"19.25";"85.2";"95";"0.145";"0.02"
"LHPL2008-000212";"LHP2008-0023";"08:00:00";"2";"470";"6000";NULL;"10956";NULL;"1.54";NULL;"20.5";"82.3";"91.4";"0.145";"0.02"
"LHPL2008-000213";"LHP2008-0023";"08:00:00";"3";"405";"1200";NULL;"11073";NULL;"1.5";NULL;"20.38";"83.3";"92.6";"0.187";"0.02"
"LHPL2008-000214";"LHP2008-0023";"08:00:00";"4";"450";"800";NULL;"7683";NULL;"5.7";NULL;"50.78";"81.4";"90.6";"0.136";"0.07"
"LHPL2008-000215";"LHP2008-0023";"08:00:00";"5";"350";"800";NULL;"7858";NULL;"4.97";NULL;"49.95";"82.7";"91.1";"0.118";"0.06"
"LHPL2008-000216";"LHP2008-0023";"08:00:00";"6";"370";"500";NULL;"7519";NULL;"4.51";NULL;"37.9";"78.9";"89.8";"0.206";"0.01"
"LHPL2008-000217";"LHP2008-0023";"08:00:00";"7";"370";"500";NULL;"7437";NULL;"4.54";NULL;"34.55";"77";"88.4";"0.397";"0.01"
"LHPL2008-000218";"LHP2008-0023";"08:00:00";"8";"370";"500";NULL;"6625";NULL;"5.13";NULL;"42.63";"76.5";"88.7";"0.638";"0.03"
"LHPL2008-000219";"LHP2008-0023";"08:00:00";"9";"380";"500";NULL;"7503";NULL;"4.19";NULL;"49.19";"79.7";"89.2";"0.289";"0.07"
"LHPL2008-000220";"LHP2008-0023";"08:00:00";"10";"375";"500";NULL;"7826";NULL;"4.45";NULL;"39.62";"78.2";"89.5";"0.211";"0.03"
"LHPL2008-000221";"LHP2008-0024";"13:00:00";"1";"390";"1200";NULL;"11561";NULL;"1.63";NULL;"19.25";"85.5";"92.1";"0.118";"0.01"
"LHPL2008-000222";"LHP2008-0024";"13:00:00";"2";"470";"6000";NULL;"10956";NULL;"1.54";NULL;"20.5";"81.7";"90.9";"0.153";"0.09"
"LHPL2008-000223";"LHP2008-0024";"13:00:00";"3";"405";"1200";NULL;"11073";NULL;"1.5";NULL;"20.38";"83";"91.3";"0.109";"0.07"
"LHPL2008-000224";"LHP2008-0024";"13:00:00";"4";"450";"800";NULL;"7683";NULL;"5.7";NULL;"50.78";"80.8";"89.7";"0.115";"0.12"
"LHPL2008-000225";"LHP2008-0024";"13:00:00";"5";"350";"800";NULL;"7858";NULL;"4.97";NULL;"49.95";"79.1";"89.1";"0.108";"0.04"
"LHPL2008-000226";"LHP2008-0024";"13:00:00";"6";"370";"800";NULL;"8348";NULL;"5.26";NULL;"43.09";"78.2";"87.9";"0.176";"0.01"
"LHPL2008-000227";"LHP2008-0024";"13:00:00";"7";"370";"800";NULL;"7763";NULL;"5.91";NULL;"36.54";"80.2";"90.1";"0.366";"0.01"
"LHPL2008-000228";"LHP2008-0024";"13:00:00";"8";"370";"800";NULL;"7234";NULL;"5.45";NULL;"43.32";"77.9";"88.4";"0.628";"0.01"
"LHPL2008-000229";"LHP2008-0024";"13:00:00";"9";"380";"800";NULL;"12056";NULL;"4.03";NULL;"40.14";"77.8";"88.5";"0.252";"0.02"
"LHPL2008-000230";"LHP2008-0024";"13:00:00";"10";"375";"500";NULL;"7826";NULL;"4.45";NULL;"39.62";"79.5";"88.9";"0.134";"0.08"
"LHPL2008-000231";"LHP2008-0025";"08:00:00";"1";"450";"2000";NULL;"11658";NULL;"1.68";NULL;"20.74";"85.7";"93.5";"0.217";"0.01"
"LHPL2008-000232";"LHP2008-0025";"08:00:00";"2";"470";"2000";NULL;"10785";NULL;"1.93";NULL;"22.07";"84";"92";"0.17";"0.01"
"LHPL2008-000233";"LHP2008-0025";"08:00:00";"3";"405";"1200";NULL;"10750";NULL;"1.97";NULL;"23.55";"84.8";"92.2";"0.157";"0.02"
"LHPL2008-000234";"LHP2008-0025";"08:00:00";"4";"450";"800";NULL;"7779";NULL;"4.38";NULL;"47.51";"81.8";"91.8";"0.145";"0.01"
"LHPL2008-000235";"LHP2008-0025";"08:00:00";"5";"350";"800";NULL;"7826";NULL;"5.3";NULL;"50.41";"80.7";"90.5";"0.118";"0.03"
"LHPL2008-000236";"LHP2008-0025";"08:00:00";"6";"370";"800";NULL;"8392";NULL;"3.89";NULL;"36.11";"78.9";"88.1";"0.208";"0.01"
"LHPL2008-000237";"LHP2008-0025";"08:00:00";"7";"370";"800";NULL;"7486";NULL;"4.48";NULL;"37.22";"81";"91.3";"0.462";"0.01"
"LHPL2008-000238";"LHP2008-0025";"08:00:00";"8";"370";"800";NULL;"6550";NULL;"4.77";NULL;"44.94";"77.3";"89.2";"0.82";"0.02"
"LHPL2008-000239";"LHP2008-0025";"08:00:00";"9";"380";"800";NULL;"7699";NULL;"4.62";NULL;"37.28";"80.3";"90.5";"0.339";"0.01"
"LHPL2008-000240";"LHP2008-0025";"08:00:00";"10";"375";"800";NULL;"7618";NULL;"4.48";NULL;"39.61";"77.6";"88.3";"0.2";"0.04"
"LHPL2008-000241";"LHP2008-0026";"13:00:00";"1";"450";"6000";NULL;"11795";NULL;"1.52";NULL;"18.17";"85.5";"91.9";"0.13";"0.01"
"LHPL2008-000242";"LHP2008-0026";"13:00:00";"2";"470";"2000";NULL;"10785";NULL;"1.93";NULL;"20.74";"85";"91.2";"0.143";"0.03"
"LHPL2008-000243";"LHP2008-0026";"13:00:00";"3";"405";"800";NULL;"11780";NULL;"1.59";NULL;"20.4";"83.6";"91.5";"0.103";"0.01"
"LHPL2008-000244";"LHP2008-0026";"13:00:00";"4";"450";"800";NULL;"7779";NULL;"4.38";NULL;"47.51";"82.3";"90.2";"0.132";"0.01"
"LHPL2008-000245";"LHP2008-0026";"13:00:00";"5";"350";"800";NULL;"7826";NULL;"5.3";NULL;"50.41";"82.2";"90.2";"0.109";"0.03"
"LHPL2008-000246";"LHP2008-0026";"13:00:00";"6";"370";"800";NULL;"8392";NULL;"3.89";NULL;"36.11";"78.9";"87.3";"0.2";"0.01"
"LHPL2008-000247";"LHP2008-0026";"13:00:00";"7";"370";"800";NULL;"7486";NULL;"4.48";NULL;"37.22";"74.2";"86.4";"0.301";"0.01"
"LHPL2008-000248";"LHP2008-0026";"13:00:00";"8";"370";"800";NULL;"6550";NULL;"4.77";NULL;"44.94";"78";"88";"0.473";"0.01"
"LHPL2008-000249";"LHP2008-0026";"13:00:00";"9";"380";"800";NULL;"7699";NULL;"4.62";NULL;"37.28";"78.6";"88.2";"0.215";"0.01"
"LHPL2008-000250";"LHP2008-0026";"13:00:00";"10";"375";"500";NULL;"7999";NULL;"4.57";NULL;"39.1";"76.5";"87.5";"0.167";"0.06"
"LHPL2008-000251";"LHP2008-0027";"08:00:00";"1";"450";"6000";NULL;"12793";NULL;"1.91";NULL;"19.65";"88.1";"95.1";"0.293";"0.01"
"LHPL2008-000252";"LHP2008-0027";"08:00:00";"2";"470";"2000";NULL;"11068";NULL;"1.94";NULL;"20.6";"83.1";"92";"0.257";"0.03"
"LHPL2008-000253";"LHP2008-0027";"08:00:00";"3";"405";"800";NULL;"11900";NULL;"1.98";NULL;"21.8";"86.9";"93.3";"0.243";"0.06"
"LHPL2008-000254";"LHP2008-0027";"08:00:00";"4";"450";"800";NULL;"7763";NULL;"7.29";NULL;"46.78";"87";"93.3";"0.196";"0.03"
"LHPL2008-000255";"LHP2008-0027";"08:00:00";"5";"350";"800";NULL;"6810";NULL;"9.17";NULL;"50.4";"81.1";"90.8";"0.169";"0.04"
"LHPL2008-000256";"LHP2008-0027";"08:00:00";"6";"370";"500";NULL;"7503";NULL;"5.94";NULL;"37.81";"78.2";"88.9";"0.202";"0.44"
"LHPL2008-000257";"LHP2008-0027";"08:00:00";"7";"370";"500";NULL;"8030";NULL;"5.9";NULL;"34.95";"82.2";"90.2";"0.301";"0.01"
"LHPL2008-000258";"LHP2008-0027";"08:00:00";"8";"370";"500";NULL;"7147";NULL;"4.65";NULL;"43.57";"78.8";"89.3";"0.754";"0.08"
"LHPL2008-000259";"LHP2008-0027";"08:00:00";"9";"380";"500";NULL;"8654";NULL;"4.72";NULL;"39.37";"79.2";"90.2";"0.202";"0.01"
"LHPL2008-000260";"LHP2008-0027";"08:00:00";"10";"375";"500";NULL;"8258";NULL;"6.61";NULL;"45.75";"78";"88.5";"0.176";"0.05"
"LHPL2008-000261";"LHP2008-0028";"10:00:00";"1";"450";"6000";NULL;NULL;NULL;"0";NULL;"0";"83.9";"93";"0.249";"0.01"
"LHPL2008-000262";"LHP2008-0028";"10:00:00";"2";"470";"2000";NULL;NULL;NULL;"0";NULL;"0";"81.2";"92.1";"0.211";"0.04"
"LHPL2008-000263";"LHP2008-0028";"10:00:00";"3";"405";"800";NULL;NULL;NULL;"0";NULL;"0";"80.5";"92.1";"0.237";"0.03"
"LHPL2008-000264";"LHP2008-0028";"10:00:00";"4";"450";"800";NULL;NULL;NULL;"0";NULL;"0";"78.6";"89.7";"0.199";"0.01"
"LHPL2008-000265";"LHP2008-0028";"10:00:00";"5";"350";"800";NULL;NULL;NULL;"0";NULL;"0";"78.2";"90.5";"0.123";"0.02"
"LHPL2008-000266";"LHP2008-0028";"10:00:00";"6";"370";"500";NULL;NULL;NULL;"0";NULL;"0";"80.7";"89.7";"0.183";"0.01"
"LHPL2008-000267";"LHP2008-0028";"10:00:00";"7";"370";"500";NULL;NULL;NULL;"0";NULL;"0";"80.3";"90.5";"0.28";"0.01"
"LHPL2008-000268";"LHP2008-0028";"10:00:00";"8";"370";"500";NULL;NULL;NULL;"0";NULL;"0";"80.3";"90.4";"0.594";"0.01"
"LHPL2008-000269";"LHP2008-0028";"10:00:00";"9";"380";"500";NULL;NULL;NULL;"0";NULL;"0";"82.2";"90.9";"0.216";"0.01"
"LHPL2008-000270";"LHP2008-0028";"10:00:00";"10";"375";"500";NULL;NULL;NULL;"0";NULL;"0";"79.8";"88.7";"0.146";"0.01"
"LHPL2008-000271";"LHP2008-0029";"09:30:00";"1";"450";"2000";NULL;"10422";NULL;"2.18";NULL;"19.83";"86.1";"92.5";"0.203";"0.01"
"LHPL2008-000272";"LHP2008-0029";"09:30:00";"2";"470";"2000";NULL;"10762";NULL;"1.83";NULL;"19";"83.9";"91.5";"0.119";"0.05"
"LHPL2008-000273";"LHP2008-0029";"09:30:00";"3";"405";"1200";NULL;"10933";NULL;"1.91";NULL;"20.64";"85.1";"91.2";"0.105";"0.05"
"LHPL2008-000274";"LHP2008-0029";"09:30:00";"4";"450";"800";NULL;"6681";NULL;"9.64";NULL;"50.57";"80";"88.9";"0.185";"0.05"
"LHPL2008-000275";"LHP2008-0029";"09:30:00";"5";"350";"800";NULL;"8168";NULL;"5.41";NULL;"50.25";"79.8";"89.7";"0.109";"0.11"
"LHPL2008-000276";"LHP2008-0029";"09:30:00";"6";"370";"800";NULL;"7601";NULL;"5.61";NULL;"35.18";"79.6";"89.6";"0.113";"0.01"
"LHPL2008-000277";"LHP2008-0029";"09:30:00";"7";"370";"800";NULL;"7842";NULL;"5.23";NULL;"35.93";"76.6";"87.7";"0.285";"0.03"
"LHPL2008-000278";"LHP2008-0029";"09:30:00";"8";"370";"500";NULL;"6864";NULL;"6.24";NULL;"41.88";"80.4";"89.9";"0.346";"0.02"
"LHPL2008-000279";"LHP2008-0029";"09:30:00";"9";"380";"500";NULL;"7795";NULL;"5.72";NULL;"39.87";"80.1";"90.5";"0.234";"0.02"
"LHPL2008-000280";"LHP2008-0029";"09:30:00";"10";"375";"500";NULL;"7905";NULL;"5.8";NULL;"41.79";"75.2";"87.1";"0.175";"0.03"
"LHPL2008-000281";"LHP2008-0030";"13:00:00";"1";"450";"2000";NULL;"10422";NULL;"2.18";NULL;"19.83";"83.5";"91.6";"0.141";"0.01"
"LHPL2008-000282";"LHP2008-0030";"13:00:00";"2";"470";"2000";NULL;"10762";NULL;"1.83";NULL;"19";"83.1";"89.9";"0.125";"0.02"
"LHPL2008-000283";"LHP2008-0030";"13:00:00";"3";"405";"1200";NULL;"10933";NULL;"1.91";NULL;"20.64";"85.9";"93.4";"0.109";"0.03"
"LHPL2008-000284";"LHP2008-0030";"13:00:00";"4";"450";"800";NULL;"6681";NULL;"9.64";NULL;"50.57";"81.9";"90.3";"0.141";"0.01"
"LHPL2008-000285";"LHP2008-0030";"13:00:00";"5";"350";"800";NULL;"8168";NULL;"5.41";NULL;"50.25";"80";"89";"0.106";"0.07"
"LHPL2008-000286";"LHP2008-0030";"13:00:00";"6";"370";"800";NULL;"7601";NULL;"5.61";NULL;"35.18";"79.5";"87.6";"0.12";"0.01"
"LHPL2008-000287";"LHP2008-0030";"13:00:00";"7";"370";"800";NULL;"7842";NULL;"5.23";NULL;"35.93";"78.5";"88.7";"0.23";"0.01"
"LHPL2008-000288";"LHP2008-0030";"13:00:00";"8";"370";"500";NULL;"6864";NULL;"6.24";NULL;"41.88";"81.5";"90";"0.303";"0.01"
"LHPL2008-000289";"LHP2008-0030";"13:00:00";"9";"380";"500";NULL;"7795";NULL;"5.72";NULL;"39.87";"81.1";"90.8";"0.261";"0.01"
"LHPL2008-000290";"LHP2008-0030";"13:00:00";"10";"375";"500";NULL;"7905";NULL;"5.8";NULL;"41.79";"81.3";"89.1";"0.194";"0.02"
"LHPL2008-000291";"LHP2008-0031";"08:00:00";"1";"450";"6000";NULL;"12127";NULL;"1.7";NULL;"18.23";"82.1";"91";"0.107";"0.01"
"LHPL2008-000292";"LHP2008-0031";"08:00:00";"2";"470";"2000";NULL;"11046";NULL;"2.03";NULL;"19.88";"80.8";"90.6";"0.116";"0.03"
"LHPL2008-000293";"LHP2008-0031";"08:00:00";"3";"405";"1200";NULL;"11246";NULL;"1.97";NULL;"23.9";"82";"91.1";"0.113";"0.03"
"LHPL2008-000294";"LHP2008-0031";"08:00:00";"4";"450";"800";NULL;"7666";NULL;"6.88";NULL;"51.89";"82";"90.5";"0.125";"0.1"
"LHPL2008-000295";"LHP2008-0031";"08:00:00";"5";"350";"800";NULL;"7618";NULL;"6.05";NULL;"52.1";"79.6";"89.3";"0.108";"0.02"
"LHPL2008-000296";"LHP2008-0031";"08:00:00";"6";"370";"800";NULL;"8045";NULL;"5.77";NULL;"35.79";"77.8";"88.6";"0.11";"0.02"
"LHPL2008-000297";"LHP2008-0031";"08:00:00";"7";"370";"500";NULL;"7470";NULL;"6.07";NULL;"35";"78.3";"88";"0.345";"0.01"
"LHPL2008-000298";"LHP2008-0031";"08:00:00";"8";"370";"800";NULL;"6569";NULL;"6.13";NULL;"46.95";"81.2";"89.7";"0.84";"0.04"
"LHPL2008-000299";"LHP2008-0031";"08:00:00";"9";"380";"800";NULL;"8122";NULL;"5.63";NULL;"42.46";"82.2";"89.2";"0.262";"0.02"
"LHPL2008-000300";"LHP2008-0031";"08:00:00";"10";"375";"800";NULL;"7858";NULL;"6.73";NULL;"41.87";"82.4";"89.3";"0.148";"0.17"
"LHPL2008-000301";"LHP2008-0032";"13:00:00";"1";"450";"6000";NULL;"12127";NULL;"1.7";NULL;"18.23";"83.7";"91.7";"0.116";"0.01"
"LHPL2008-000302";"LHP2008-0032";"13:00:00";"2";"470";"2000";NULL;"11046";NULL;"2.03";NULL;"19.88";"81.3";"89.9";"0.148";"0.01"
"LHPL2008-000303";"LHP2008-0032";"13:00:00";"3";"405";"1200";NULL;"11246";NULL;"1.97";NULL;"23.9";"83";"93.2";"0.109";"0.03"
"LHPL2008-000304";"LHP2008-0032";"13:00:00";"4";"450";"800";NULL;"7666";NULL;"6.88";NULL;"51.89";"80.3";"90.9";"0.132";"0.04"
"LHPL2008-000305";"LHP2008-0032";"13:00:00";"5";"350";"800";NULL;"7618";NULL;"6.05";NULL;"52.1";"79.5";"89.8";"0.157";"0.01"
"LHPL2008-000306";"LHP2008-0032";"13:00:00";"6";"370";"500";NULL;"7285";NULL;"6.14";NULL;"35.48";"79.3";"89.7";"0.166";"0.01"
"LHPL2008-000307";"LHP2008-0032";"13:00:00";"7";"370";"500";NULL;"7470";NULL;"6.07";NULL;"35";"80.1";"89.2";"0.222";"0.01"
"LHPL2008-000308";"LHP2008-0032";"13:00:00";"8";"370";"500";NULL;"6900";NULL;"6.6";NULL;"41.15";"80.4";"89.7";"0.398";"0.01"
"LHPL2008-000309";"LHP2008-0032";"13:00:00";"9";"380";"500";NULL;"7618";NULL;"5.82";NULL;"38.88";"80";"88.7";"0.236";"0.01"
"LHPL2008-000310";"LHP2008-0032";"13:00:00";"10";"375";"500";NULL;"7199";NULL;"6.69";NULL;"41.38";"82.5";"89.5";"0.176";"0.01"
"LHPL2008-000311";"LHP2008-0033";"08:00:00";"1";"450";"6000";NULL;"10290";NULL;"1.99";NULL;"18.92";"83.3";"92.4";"0.209";"0.01"
"LHPL2008-000312";"LHP2008-0033";"08:00:00";"2";"470";"2000";NULL;"10692";NULL;"1.99";NULL;"21.22";"83.5";"91.6";"0.166";"0.01"
"LHPL2008-000313";"LHP2008-0033";"08:00:00";"3";"405";"1500";NULL;"11113";NULL;"2.08";NULL;"21.59";"82.8";"89.5";"0.136";"0.01"
"LHPL2008-000314";"LHP2008-0033";"08:00:00";"4";"450";"800";NULL;"7858";NULL;"7.26";NULL;"57.31";"82.2";"91.1";"0.138";"0.01"
"LHPL2008-000315";"LHP2008-0033";"08:00:00";"5";"350";"800";NULL;"7370";NULL;"7.76";NULL;"50.94";"77.3";"89";"0.112";"0.16"
"LHPL2008-000316";"LHP2008-0033";"08:00:00";"6";"370";"500";NULL;"6990";NULL;"6.34";NULL;"47.18";"75.2";"86.6";"0.277";"0.01"
"LHPL2008-000317";"LHP2008-0033";"08:00:00";"7";"350";"325";NULL;"6079";NULL;"7.03";NULL;"33.42";"80.8";"89.7";"0.153";"0.09"
"LHPL2008-000318";"LHP2008-0033";"08:00:00";"8";"370";"500";NULL;"6397";NULL;"7.27";NULL;"51.55";"77.6";"88.3";"0.119";"0.03"
"LHPL2008-000319";"LHP2008-0033";"08:00:00";"9";"380";"500";NULL;"7779";NULL;"5.51";NULL;"44.73";"81.3";"90.4";"0.381";"0.01"
"LHPL2008-000320";"LHP2008-0033";"08:00:00";"10";"375";"500";NULL;"7519";NULL;"6.18";NULL;"46.53";"76.2";"87.9";"0.181";"0.01"
"LHPL2008-000321";"LHP2008-0035";"13:00:00";"1";"450";"6000";NULL;"10290";NULL;"1.99";NULL;"18.92";"83.2";"90.9";"0.106";"0.01"
"LHPL2008-000322";"LHP2008-0035";"13:00:00";"2";"470";"2000";NULL;"10692";NULL;"1.99";NULL;"21.22";"85.1";"92.1";"0.108";"0.02"
"LHPL2008-000323";"LHP2008-0035";"13:00:00";"3";"405";"1200";NULL;"10552";NULL;"2.1";NULL;"22.73";"85.4";"91.7";"0.104";"0.01"
"LHPL2008-000324";"LHP2008-0035";"13:00:00";"4";"450";"800";NULL;"7858";NULL;"7.26";NULL;"57.31";"81.5";"90.4";"0.215";"0.01"
"LHPL2008-000325";"LHP2008-0035";"13:00:00";"5";"350";"800";NULL;"7370";NULL;"7.76";NULL;"50.94";"78.5";"89";"0.106";"0.11"
"LHPL2008-000326";"LHP2008-0035";"13:00:00";"6";"370";"500";NULL;"6990";NULL;"6.34";NULL;"47.18";"78.3";"88.1";"0.129";"0.01"
